time,magnitude,user_id
0,8715,1427
29,35,1479
104,178,1298
133,43,1437
226,69,1482
323,31,1451
420,22,1217
511,34,1491
601,44,1487
690,39,1532
783,23,1231
884,17,1198
1051,29,1454
1143,71,1439
1227,14,1352
1308,42,1534
1567,26,1254
1657,12,1291
1751,72,1442
1882,22,1452
1929,21,1197
2025,43,1489
2105,31,1245
2193,52,1446
2277,56,1440
2390,13,1344
2447,29,1272
2616,247,1239
2699,27,1223
2794,15,1293
2874,25,1542
2958,91,1462
3035,17,1234
3121,18,1237
3207,58,1438
3463,34,1287
3553,25,1316
3648,46,1453
3720,33,1182
3802,29,1243
3885,156,1443
3973,37,1533
4054,130,1256
4142,38,1513
4222,32,1478
4314,20,1334
4389,39,1227
4476,26,1233
4548,28,1278
4633,45,1539
79480,612,1139
